Split,Judge model,Train dataset,Test dataset,Type,Accuracy,Precision,Recall,F1,AUROC,ECE,ECE_lo,ECE_hi,ECE_se,ECE_em,ECE_em_lo,ECE_em_hi,ECE_em_se,RMSCE_db,RMSCE_db_lo,RMSCE_db_hi,RMSCE_db_se,Brier,BSS,Validity,N,N_pos
all_docs,qwen-2.5-7b,pond,nfix,NTP,0.66,0.8695652173913043,0.39215686274509803,0.5405405405405406,0.7741096438575431,0.16217632147698835,0.08897612147265722,0.2596603192036196,0.04288057965486283,0.16580023812357872,0.13717418709234047,0.28386680104475226,0.03750719349371306,0.15688391931224552,0.1057709003368598,0.3240470614836439,0.05640012133415341,0.23164149213317298,0.07306325677001613,0.8695652173913043,100,51
all_docs,qwen-2.5-7b,pond,nfix,Probe,0.67,0.78125,0.49019607843137253,0.6024096385542168,0.7859143657462986,0.19568934011864814,0.14412433629087146,0.2946200229997362,0.037946733836368825,0.181200289997851,0.1353762790161802,0.28572208678829836,0.037708631552047955,0.15041393762809524,0.10201251375047214,0.3119307728774594,0.052925354508507744,0.22187193980180214,0.11215710363424514,0.78125,100,51
all_docs,qwen-2.5-7b,nfix,pond,NTP,0.72,0.8292682926829268,0.6181818181818182,0.7083333333333334,0.8428282828282829,0.13254388596872238,0.0813582913117116,0.2149354197677973,0.03489846050534232,0.1467650105469568,0.11259087193671544,0.23964577922158425,0.03288679212587709,0.10757734859412911,0.045417518895971815,0.26441306308303303,0.05442465108646439,0.18281582134915209,0.2613502167711027,0.8292682926829268,100,55
all_docs,qwen-2.5-7b,nfix,pond,Probe,0.75,0.7205882352941176,0.8909090909090909,0.7967479674796749,0.7765656565656566,0.0823887232889076,0.07339347857397611,0.19659627610795224,0.030861054441157564,0.08822766689667663,0.08547741949414496,0.2086443855371954,0.03206655027555282,0.0,0.0,0.21983870174510226,0.061310158030528666,0.19059057632035992,0.2299370653722832,0.7205882352941176,100,55
all_docs,qwen-2.5-7b,nfix,nfix,NTP,0.69,0.8333333333333334,0.49019607843137253,0.6172839506172839,0.7741096438575431,0.07593125474953408,0.04641785258705227,0.17705106422598443,0.033246959653025356,0.11886660308278048,0.09843331981314554,0.23469695925738776,0.034305887965411244,0.0,0.0,0.2549240124999607,0.06386613838375652,0.2042838509577928,0.18253761121331413,0.8333333333333334,100,51
all_docs,qwen-2.5-7b,nfix,nfix,Probe,0.67,0.7368421052631579,0.5490196078431373,0.6292134831460675,0.7839135654261704,0.12053446474343144,0.09351455838060908,0.22617668038172886,0.034308506275611286,0.13964122538335547,0.10201965399911399,0.24160530959339527,0.03529445678921207,0.09845740645978185,0.0,0.27005539718937854,0.06439300561603642,0.19979601513870537,0.2004961379003387,0.7368421052631579,100,51
all_docs,qwen-2.5-7b,supermat,pond,NTP,0.7,0.9032258064516129,0.509090909090909,0.6511627906976745,0.8428282828282829,0.15774878166726322,0.08803085084682813,0.2448588572225213,0.040870104693180455,0.20466355327601973,0.1574742562255633,0.2960362832046371,0.03516062101594876,0.20303065294143047,0.13577346918222002,0.3317292549121541,0.04961442296786521,0.21020566543578822,0.15068418005742135,0.9032258064516129,100,55
all_docs,qwen-2.5-7b,supermat,pond,Probe,0.53,0.7857142857142857,0.2,0.3188405797101449,0.696969696969697,0.29246028136729807,0.21835529112938648,0.3913441067012498,0.04484957946115586,0.28222097862321205,0.21878865936094688,0.38303285345045596,0.042666351360399785,0.28904405428062635,0.22518929855248523,0.4164071379205242,0.04923991154461893,0.309232172259691,-0.24942291822097373,0.7857142857142857,100,55
all_docs,qwen-2.5-7b,supermat,nfix,NTP,0.65,0.9,0.35294117647058826,0.5070422535211269,0.7741096438575431,0.17899075683426446,0.10022259781124276,0.2692164060885002,0.04344304040439109,0.186276148475379,0.15101460504272485,0.2978564893774762,0.03789115099793147,0.17379900745263976,0.12195317915343573,0.33324096094119576,0.053307552697485536,0.23692312713724134,0.051928262756137156,0.9,100,51
all_docs,qwen-2.5-7b,supermat,nfix,Probe,0.49,0.5,0.0392156862745098,0.07272727272727272,0.6606642657062826,0.30353617388815257,0.2168126736890255,0.39889393259005373,0.04570383674619192,0.2819556525699826,0.2227761735879563,0.390568881243121,0.042165784544857754,0.31504924225532477,0.24423346332289775,0.4315397956445444,0.04793329515059624,0.3101792053174456,-0.24121330659241935,0.5,100,51
