dataset,ecosystem,attribute,setting,unit,n_gt,n_ext,n_eff,ext_qlo,ext_qhi,w2,w2_skip,w2_lo,w2_hi,w2_n_boot_ok,w2_log,w2_log_skip,w2_log_lo,w2_log_hi,w2_log_n_boot_ok,w2_shuffled
pond,pond,chla,ntp_weighted,µg/L,41,84,56.5812182107085,0.0029675262015943136,0.9970323539357822,155.53733443553307,,87.2276729605683,312.4729242278519,2000,1.168753992515433,,0.9373239350507273,1.4184366192903775,2000,259.8457633133992
pond,pond,chla,probe_weighted,µg/L,41,84,72.52301558858889,0.0008080249103678069,0.9957280981833243,199.02096577023863,,99.29287012151966,380.50649177350385,2000,1.1317704716966763,,0.9066232554274767,1.3823661073928633,2000,298.8860281673643
pond,lake,surface_area,extracted,m^2,197,396,396.0,0.0012626262626262627,0.9987373737373737,163147.79827289013,,132437.95209943337,198380.93297271943,2000,0.42987704088673956,,0.32067761382209875,0.576011303102955,2000,163147.79827289013
pond,lake,surface_area,judge_filtered,m^2,197,293,293.0,0.0017064846416382253,0.9982935153583617,152785.06789591585,,117943.96316191924,191573.88519815152,2000,0.35439759596811926,,0.2523083605199802,0.4921159714568175,2000,152785.06789591585
pond,lake,surface_area,ntp_weighted,m^2,197,396,327.75556385259426,0.00040544338473903925,0.9983454622099743,150205.20908773306,,116962.66236611585,185849.3997700586,2000,0.3723047721371777,,0.2691576648889037,0.5166114507224701,2000,175226.48091981877
pond,lake,surface_area,probe_weighted,m^2,197,396,378.9260053443796,0.0004760354669255249,0.9985547945490132,155729.24026919197,,124479.35160790158,191450.2657620569,2000,0.4138244951894056,,0.3034166714793505,0.5635221536700606,2000,166611.8891570159
pond,lake,max_depth,extracted,m,99,335,335.0,0.0014925373134328358,0.9985074626865672,5.333917637438271,,3.806463069004009,6.957023635173829,2000,0.2141317897795284,,0.17308705318249623,0.30386363940233213,2000,5.333917637438271
pond,lake,max_depth,judge_filtered,m,99,150,150.0,0.0033333333333333335,0.9966666666666667,4.9032619109641615,,3.199750620687631,8.286347119974872,2000,0.2611810781185994,,0.1757055330528385,0.39186898942930054,2000,4.9032619109641615
pond,lake,max_depth,ntp_weighted,m,99,335,251.62105648989782,0.0005965566213411947,0.9975337931236861,5.113640842688822,,3.5926979271704154,6.733100395203889,2000,0.23541648756388991,,0.17423245694587122,0.34263036361029936,2000,4.787963750455119
pond,lake,max_depth,probe_weighted,m,99,335,305.92287098040686,0.001182277585690458,0.9984932680984869,5.672367772721069,,4.144164850656756,7.2862389422467535,2000,0.23376492415387753,,0.18592932194371906,0.3266314086371709,2000,4.92991417603938
pond,lake,vegetation_cover,extracted,percent,33,53,53.0,0.009433962264150943,0.9905660377358491,5.225807769344034,,5.1551772418642,21.813776066636507,2000,,n/a,,,0,5.225807769344034
pond,lake,vegetation_cover,judge_filtered,percent,33,47,47.0,0.010638297872340425,0.9893617021276596,6.218055974527014,,5.101117291628843,24.153149410162,2000,,n/a,,,0,6.218055974527014
pond,lake,vegetation_cover,ntp_weighted,percent,33,53,34.945750829960126,0.0049846622914053755,0.9950537389870341,7.473198685188851,,5.611317657607025,22.215861673684675,1999,,n/a,,,0,4.564444337457481
pond,lake,vegetation_cover,probe_weighted,percent,33,53,51.26361497486439,0.010892028238521558,0.9911377925333843,4.341939316814065,,5.064731051091922,22.108776604224737,2000,,n/a,,,0,5.189899583426217
pond,lake,ph,extracted,,73,184,184.0,0.002717391304347826,0.9972826086956522,0.41718808244707395,,0.23497304018149964,0.8308388130608318,2000,,n/a,,,0,0.41718808244707395
pond,lake,ph,judge_filtered,,73,147,147.0,0.003401360544217687,0.9965986394557823,0.45995288878091684,,0.23848268670843292,0.9036680684242374,2000,,n/a,,,0,0.45995288878091684
pond,lake,ph,ntp_weighted,,73,184,147.67599499689427,0.0009497056539432157,0.9989804092916766,0.36177104314696695,,0.23163096437339137,0.7570326998652346,2000,,n/a,,,0,0.38985458370811893
pond,lake,ph,probe_weighted,,73,184,164.27916333935042,0.0007024348868100449,0.9969978226664129,0.40000812441755573,,0.24913076663674796,0.790925201366774,2000,,n/a,,,0,0.4476253854203141
pond,lake,tn,extracted,µg/L,61,67,67.0,0.007462686567164179,0.9925373134328358,746.1479560548238,,162.6989299697413,3971.7383437579233,2000,0.2736101948677269,,0.1549851412162107,0.4412995030420567,2000,746.1479560548238
pond,lake,tn,judge_filtered,µg/L,61,46,46.0,0.010869565217391304,0.9891304347826086,191.21994092824244,,109.66231393882141,614.6269366965189,2000,0.07215438662081312,,0.044564630119641034,0.17760964104013952,2000,191.21994092824244
pond,lake,tn,ntp_weighted,µg/L,61,67,45.914526351533425,0.00502416976903028,0.9949646524172994,557.9864330346353,,163.6957759412376,2772.4140302370706,2000,0.19929810367194178,,0.11245412292296832,0.34900504818514516,2000,279.18591810116504
pond,lake,tn,probe_weighted,µg/L,61,67,44.4010078375005,0.0003552499966728601,0.9904287182092885,1477.3632517438443,,145.91171912325868,5004.656011161933,2000,0.1334305838515032,,0.053940977387172226,0.3219275168283584,2000,1229.275830351206
pond,lake,tp,extracted,µg/L,101,119,119.0,0.004201680672268907,0.9957983193277311,21.196148279066076,,13.822524653911682,56.447262398473164,2000,0.32253488472094394,,0.20273351221258057,0.4734386057134825,2000,21.196148279066076
pond,lake,tp,judge_filtered,µg/L,101,82,82.0,0.006097560975609756,0.9939024390243902,13.680031176549884,,10.492258175561672,44.14072229989638,2000,0.15559352543328225,,0.0817981443037213,0.29577873983578934,2000,13.680031176549884
pond,lake,tp,ntp_weighted,µg/L,101,119,79.48436098831804,0.0021969532095018605,0.9977860100977325,29.35315603926089,,14.231612250890423,57.30426010555989,2000,0.25049293352811197,,0.16211515898779033,0.36911183447958473,2000,24.449470808079838
pond,lake,tp,probe_weighted,µg/L,101,119,108.54063138672248,0.0015233740257319481,0.9977640189532929,25.96416728743984,,13.897908004417193,54.145443221285106,2000,0.31225590018292854,,0.19789059760362948,0.457589337341258,2000,20.836946042424028
pond,lake,chla,extracted,µg/L,123,155,155.0,0.0032258064516129032,0.9967741935483871,124.2400737205874,,41.87296109589097,297.7331945654357,2000,0.30235830210192227,,0.21507733756532071,0.44966745831598803,2000,124.2400737205874
pond,lake,chla,judge_filtered,µg/L,123,126,126.0,0.003968253968253968,0.996031746031746,35.35888933554422,,14.800509430833587,166.57719171281917,2000,0.22907220815430346,,0.1492551073652507,0.38200672660464463,2000,35.35888933554422
pond,lake,chla,ntp_weighted,µg/L,123,155,132.5724255940412,0.002924736581217103,0.9990048871874218,45.68483556884451,,16.100332710604324,111.8997187678817,2000,0.2022516320549111,,0.13594094895823838,0.354837242736334,2000,128.92662216135702
pond,lake,chla,probe_weighted,µg/L,123,155,144.98223525901508,0.0034196433898094018,0.9986203402835927,59.89676283247038,,19.452823970900262,168.4613834116517,2000,0.22758412296448916,,0.1560906878216337,0.3651072426469393,2000,107.41148884123166
pond,wetland,surface_area,extracted,m^2,9,18,18.0,,,,gt_undersupported,,,0,,gt_undersupported,,,0,
pond,wetland,surface_area,judge_filtered,m^2,9,10,10.0,,,,gt_undersupported,,,0,,gt_undersupported,,,0,
pond,wetland,surface_area,ntp_weighted,m^2,9,18,12.57087966007328,,,,gt_undersupported,,,0,,gt_undersupported,,,0,
pond,wetland,surface_area,probe_weighted,m^2,9,18,17.001140092122817,,,,gt_undersupported,,,0,,gt_undersupported,,,0,
pond,wetland,max_depth,extracted,m,1,8,8.0,,,,gt_undersupported,,,0,,gt_undersupported,,,0,
pond,wetland,max_depth,judge_filtered,m,1,2,2.0,,,,gt_undersupported,,,0,,gt_undersupported,,,0,
pond,wetland,max_depth,ntp_weighted,m,1,8,5.3886469425797845,,,,gt_undersupported,,,0,,gt_undersupported,,,0,
pond,wetland,max_depth,probe_weighted,m,1,8,6.461565758110075,,,,gt_undersupported,,,0,,gt_undersupported,,,0,
pond,wetland,vegetation_cover,extracted,percent,1,46,46.0,,,,gt_undersupported,,,0,,n/a,,,0,
pond,wetland,vegetation_cover,judge_filtered,percent,1,40,40.0,,,,gt_undersupported,,,0,,n/a,,,0,
pond,wetland,vegetation_cover,ntp_weighted,percent,1,46,41.345583284708844,,,,gt_undersupported,,,0,,n/a,,,0,
pond,wetland,vegetation_cover,probe_weighted,percent,1,46,44.40712654952361,,,,gt_undersupported,,,0,,n/a,,,0,
pond,wetland,ph,extracted,,21,30,30.0,0.016666666666666666,0.9833333333333333,2.5123334323401565,,0.5326431677846604,3.6263462790202734,2000,,n/a,,,0,2.5123334323401565
pond,wetland,ph,judge_filtered,,21,24,24.0,0.020833333333333332,0.9791666666666666,0.18176881964346137,,0.10786612409610184,0.5265734940201391,2000,,n/a,,,0,0.18176881964346137
pond,wetland,ph,ntp_weighted,,21,30,22.05068215071524,0.007872443638286023,0.9704521226223474,,ext_clamped,,,0,,n/a,,,0,
pond,wetland,ph,probe_weighted,,21,30,23.267149845805385,0.0010561798791224341,0.9827159367173647,1.2535787897814827,,0.1600157659554422,2.4176169663840272,1996,,n/a,,,0,2.047899925508644
pond,wetland,tn,extracted,µg/L,20,15,15.0,0.03333333333333333,0.9666666666666667,,ext_clamped,,,0,,ext_clamped,,,0,
pond,wetland,tn,judge_filtered,µg/L,20,12,12.0,0.041666666666666664,0.9583333333333334,,ext_clamped,,,0,,ext_clamped,,,0,
pond,wetland,tn,ntp_weighted,µg/L,20,15,10.999717270977406,0.027764258728499042,0.9696143095391673,,ext_clamped,,,0,,ext_clamped,,,0,
pond,wetland,tn,probe_weighted,µg/L,20,15,13.298303764008335,0.038338487887112846,0.9553472822602767,,ext_clamped,,,0,,ext_clamped,,,0,
pond,wetland,tp,extracted,µg/L,21,24,24.0,0.020833333333333332,0.9791666666666666,525.2792453457403,,124.17560885624495,1368.5885396955139,2000,0.3406597029350947,,0.17413488865208002,0.7063440161158061,2000,525.2792453457403
pond,wetland,tp,judge_filtered,µg/L,21,12,12.0,0.041666666666666664,0.9583333333333334,,ext_clamped,,,0,,ext_clamped,,,0,
pond,wetland,tp,ntp_weighted,µg/L,21,24,16.03526784315356,0.014378417891624064,0.9856215709240471,486.7179927790765,,200.71612376180636,1196.10644414659,1982,0.42431454418764586,,,,1979,323.1162489775792
pond,wetland,tp,probe_weighted,µg/L,21,24,18.291446557891938,0.00031281786555544975,0.9971764559296806,446.2978989846421,,,,1261,0.4768164939191033,,,,1241,
pond,wetland,chla,extracted,µg/L,20,15,15.0,0.03333333333333333,0.9666666666666667,,ext_clamped,,,0,,ext_clamped,,,0,
pond,wetland,chla,judge_filtered,µg/L,20,5,5.0,0.1,0.9,,ext_clamped,,,0,,ext_clamped,,,0,
pond,wetland,chla,ntp_weighted,µg/L,20,15,14.999999999396582,0.03333319017438801,0.9666667347846235,,ext_clamped,,,0,,ext_clamped,,,0,
pond,wetland,chla,probe_weighted,µg/L,20,15,13.699311973664459,0.02976097167770224,0.9512029919975487,,ext_clamped,,,0,,ext_clamped,,,0,
