Dataset type,Judge model,Train dataset,Test dataset,Type,Accuracy,Precision,Recall,F1,AUROC,ECE,ECE_lo,ECE_hi,ECE_em,ECE_em_lo,ECE_em_hi,RMSCE_db,RMSCE_db_lo,RMSCE_db_hi,SmECE,SmECE_lo,SmECE_hi,Recovery,Validity
syn,mistral-7b,supermat,supermat,NTP,0.6437177280550774,0.46987951807228917,0.5370051635111877,0.5012048192771085,0.6844933212071298,0.036291633783950644,0.02034093014555156,0.05862145586229167,0.06551574191758007,0.04850913551510034,0.08630310892477129,0.07300561681828348,0.05103710326933543,0.10037037882425714,0.035926320628203195,0.016475433298050277,0.055377207958356114,0.5370051635111877,0.46987951807228917
syn,mistral-7b,supermat,supermat,Probe,0.7137119908204246,0.6496350364963503,0.306368330464716,0.41637426900584795,0.7582599885650299,0.056975765439989445,0.04616333778810193,0.08124067837035344,0.05773369628190045,0.04556029488769524,0.08217445287759598,0.07347150469822197,0.052950796861595845,0.10148058484475397,0.054187683413356405,0.03404755779066557,0.07432780903604724,0.306368330464716,0.6496350364963503
syn,mistral-7b,supermat,pond+nfix,NTP,0.5904139433551199,0.43392390357246585,0.751131221719457,0.5500736377025036,0.6910550132313952,0.08486738740569014,0.0732458490770265,0.0962854563039326,0.09576829568118676,0.08544949758228458,0.10754173547959603,0.10300340894373212,0.09307626508673368,0.1170640328058699,0.08483727218197656,0.07363029111411143,0.0960442532498417,0.751131221719457,0.43392390357246585
syn,mistral-7b,supermat,pond+nfix,Probe,0.6881179822356293,0.737037037037037,0.10005027652086476,0.17618415227976983,0.7956795305300318,0.0999743160994727,0.09237221551336769,0.1124908094291057,0.10934019250723127,0.09916066461734223,0.12012205991730697,0.14366467997901836,0.1318506202157807,0.15658680534402925,0.09356986920331037,0.08581735502954976,0.10132238337707097,0.10005027652086476,0.737037037037037
syn,qwen-2.5-7b,pond,pond,NTP,0.7984848484848485,0.7711487088156723,0.5623376623376624,0.6503942921517086,0.87404273486254,0.04688341200872154,0.03632251973478574,0.05916001821777886,0.12339457413374973,0.11299496422854713,0.1351678712991802,0.1407152092705672,0.12964042453308514,0.15352295144917763,0.04686175878495567,0.03985876205930571,0.053864755510605634,0.5623376623376624,0.7711487088156723
syn,qwen-2.5-7b,pond,pond,Probe,0.8727272727272727,0.8474452554744526,0.7538961038961038,0.7979381443298968,0.9116044020914151,0.06251525213465592,0.054794957244109634,0.07238101309161071,0.06068422584551682,0.05333362034444874,0.07016624382480074,0.0741383898114007,0.06462210993354454,0.0858436986869758,0.05590753229784338,0.048081773106956494,0.06373329148873026,0.7538961038961038,0.8474452554744526
syn,qwen-2.5-7b,pond,nfix+supermat,NTP,0.7307443365695793,0.7487437185929648,0.28932038834951457,0.4173669467787115,0.7295411914412292,0.06244071282526812,0.04694079165877789,0.08005798300012992,0.10097230069227187,0.08479625109296982,0.11604778133355884,0.11345260216224189,0.09801792407114765,0.13275602988895918,0.06301843705470792,0.04600267611228662,0.08003419799712921,0.28932038834951457,0.7487437185929648
syn,qwen-2.5-7b,pond,nfix+supermat,Probe,0.6886731391585761,0.5345528455284553,0.5106796116504855,0.522343594836147,0.7060281364878876,0.10587094263349511,0.09456002287747618,0.12455505462625761,0.10180257699725681,0.09025846925285037,0.12008245049917825,0.19046747049389542,0.17281133837970608,0.21450460434365481,0.0804107514567171,0.0661000911669939,0.09472141174644029,0.5106796116504855,0.5345528455284553
syn,qwen-2.5-7b,nfix,nfix,NTP,0.6755753526354863,0.5652173913043478,0.11581291759465479,0.19223659889094266,0.6453576619163595,0.02794399225020862,0.014217021099186471,0.052814097528636694,0.09014418065546063,0.07314336797353153,0.11868517585556694,0.10248772188807614,0.08569249428569946,0.1358753043102391,0.02967820509937458,0.006087933004644573,0.05326847719410459,0.11581291759465479,0.5652173913043478
syn,qwen-2.5-7b,nfix,nfix,Probe,0.6985894580549369,0.5754385964912281,0.36525612472160357,0.446866485013624,0.717418316377399,0.07652537102886635,0.05952070840150992,0.10232015596236461,0.08652672258540976,0.062486698344272736,0.10848211620567048,0.09033671241053984,0.0679311787143752,0.12244248116566488,0.07434178441011205,0.05551422034645993,0.09316934847376417,0.36525612472160357,0.5754385964912281
