Dataset type,Judge model,Train dataset,Test dataset,Type,Accuracy,Precision,Recall,F1,AUROC,ECE,ECE_lo,ECE_hi,ECE_em,ECE_em_lo,ECE_em_hi,RMSCE_db,RMSCE_db_lo,RMSCE_db_hi,Recovery,Validity
syn,qwen-2.5-7b-base,pond,pond,Probe,0.7651515151515151,0.6366366366366366,0.6883116883116883,0.6614664586583464,0.8526146905043008,0.061361485910794114,0.055072356021337046,0.074138388496501,0.057726496013986016,0.05305407507591091,0.07159863536695688,0.07174689605540356,0.06629083623991096,0.08363332415165126,0.6883116883116883,0.6366366366366366
syn,qwen-2.5-7b-base,pond,nfix,NTP,0.6666666666666666,,0.0,,0.5393475230777625,0.037320164008036186,0.017814907497831968,0.06251482879679478,0.04926610701761847,0.03721657854086607,0.08044001711979752,0.0509493907434788,0.02476763481483883,0.08897330001837127,0.0,0.0
syn,qwen-2.5-7b-base,pond,nfix,Probe,0.6406829992576095,0.46284501061571126,0.48552338530066813,0.4739130434782609,0.6313882371615219,0.11753118624857103,0.09598650573123023,0.14203652514604775,0.11237436910007927,0.09409958134746092,0.13895771335706666,0.1301867686328598,0.11011679757474305,0.16318182294987657,0.48552338530066813,0.46284501061571126
syn,qwen-2.5-7b-base,pond,supermat,NTP,0.6534710269650029,0.4195804195804196,0.10327022375215146,0.16574585635359118,0.5572229908075874,0.09584583901738572,0.073623369211243,0.11770388338344832,0.08822383215276183,0.0696318411680679,0.11109853048255358,0.08853305219644761,0.07304898119215059,0.11655229314003093,0.10327022375215146,0.4195804195804196
syn,qwen-2.5-7b-base,pond,supermat,Probe,0.6827309236947792,0.7258064516129032,0.0774526678141136,0.1399688958009331,0.677749354931405,0.19870129620640398,0.17857264660639685,0.2190164169915882,0.19799619298299523,0.17721339051122256,0.2173663850078753,0.20295022711351196,0.18362516459425604,0.22742305947088465,0.0774526678141136,0.7258064516129032
syn,qwen-2.5-7b-base,nfix,pond,NTP,0.6632034632034632,0.35714285714285715,0.012987012987012988,0.02506265664160401,0.5591539467026481,0.03514941362229298,0.02533075571180821,0.049050655736920516,0.04499192899211153,0.03561423672433384,0.06014534856924493,0.048080516119960774,0.03835985416622858,0.06710342883694409,0.012987012987012988,0.35714285714285715
syn,qwen-2.5-7b-base,nfix,pond,Probe,0.7287878787878788,0.6606942889137738,0.38311688311688313,0.48499794492396225,0.7876867937257548,0.05850219553267104,0.04671436628058402,0.07020200173480737,0.05097254655239726,0.043287055866710354,0.06413904195435793,0.058011578841796335,0.04879442272197478,0.07434257626997243,0.38311688311688313,0.6606942889137738
syn,qwen-2.5-7b-base,nfix,nfix,NTP,0.6659242761692651,0.0,0.0,,0.5393475230777625,0.012133478775966627,0.006040197423152713,0.03978098335474006,0.04942592158284572,0.032367863200560475,0.0748864306009288,0.037406050105943466,0.0,0.07583140541970618,0.0,0.0
syn,qwen-2.5-7b-base,nfix,nfix,Probe,0.6985894580549369,0.6423841059602649,0.21603563474387527,0.3233333333333333,0.7020426485979733,0.058432686291027824,0.04296293328331912,0.08365576612300941,0.05514633693665932,0.04675067005442086,0.08458976802346738,0.057867227844599065,0.044845847690361346,0.09330814131025837,0.21603563474387527,0.6423841059602649
syn,qwen-2.5-7b-base,nfix,supermat,NTP,0.6385542168674698,0.4241486068111455,0.23580034423407917,0.3030973451327434,0.5572229908075874,0.1116628656492202,0.09163953965749744,0.13415597459591755,0.10857812819555648,0.09040194910030025,0.13174380594022675,0.11239833928906497,0.0962660643602422,0.13863927912072474,0.23580034423407917,0.4241486068111455
