dataset,ecosystem,attribute,setting,unit,n,n_eff,sum_w,mean,std,q1,median,q3,whisker_lo,whisker_hi,n_outliers,w_outliers,quantiles_clamped
pond,wetland,ph,extracted,,30,30.0,30.0,6.608999999999999,2.8379039739774923,7.2,7.435,8.1,7.04,8.7,5,5.0,False
pond,wetland,ph,judge_filtered,,24,24.0,24.0,7.8237499999999995,0.5756645498144238,7.32,7.755,8.299999999999999,7.04,8.7,0,0.0,False
pond,wetland,ph,ntp_weighted,,30,22.05068215071524,13.178839077833945,7.299309571570902,2.1216422427622246,7.261322108311267,7.851066019576971,8.479390920887022,7.04,8.7,5,1.0374970464393884,False
pond,wetland,ph,probe_weighted,,30,23.267149845805385,14.292855578640157,7.2277986922310955,1.8003391643034388,7.241557832418383,7.416336899176936,8.0,7.04,8.7,5,0.8715961049579923,False
pond,wetland,tn,ground_truth,µg/L,20,20.0,20.0,9065.0,6690.543601547674,1349.9999999999998,9645.0,13810.0,700.0000000000001,19380.0,0,0.0,False
pond,wetland,tn,extracted,µg/L,15,15.0,15.0,13035.333333333334,3726.3614322566086,10280.0,12450.0,16585.0,8400.0,19380.0,0,0.0,False
pond,wetland,tn,judge_filtered,µg/L,12,12.0,12.0,13880.833333333334,3682.295376857245,11405.0,12815.0,17695.0,8810.0,19380.0,0,0.0,False
pond,wetland,tn,ntp_weighted,µg/L,15,10.999717270977406,3.736850225585734,13093.401164515828,3480.8432150013073,10281.604867796095,12599.70029702695,14718.18578895704,8400.0,19380.0,0,0.0,False
pond,wetland,tn,probe_weighted,µg/L,15,13.298303764008335,7.205525131890041,13508.560846642073,4022.9735908948924,10278.942636364245,12775.948749617726,17759.64840115017,8400.0,19380.0,0,0.0,False
pond,wetland,tp,ground_truth,µg/L,21,21.0,21.0,542.1285714285714,444.9874100947769,115.975,480.0,852.5,35.4,1410.0000000000002,0,0.0,False
pond,wetland,tp,extracted,µg/L,29,29.0,29.0,32423.13275862069,71612.41209158792,477.5,950.0,1552.4999999999995,0.85,1980.0,6,6.0,False
pond,wetland,tp,judge_filtered,µg/L,12,12.0,12.0,972.0,331.1563761345166,710.0,1015.0,1297.0,470.0,1410.0,0,0.0,False
pond,wetland,tp,ntp_weighted,µg/L,29,19.675078617756444,8.253763219633806,23972.737874356375,63309.75072345932,630.0,1193.371284082823,1298.3434170178584,0.85,1980.0,6,1.2456071639239599,False
pond,wetland,tp,probe_weighted,µg/L,29,19.726526864135767,10.813406354499838,12335.947119462087,46792.91009927714,626.4690598843711,1063.7543238488554,1297.5471942936108,0.85,1980.0,6,0.7038630635960735,False
pond,wetland,chla,ground_truth,µg/L,20,20.0,20.0,42.3,42.61661400761074,8.65,27.6,56.9,7.0,91.7,2,2.0,False
pond,wetland,chla,extracted,µg/L,24,24.0,24.0,19465.109583333335,30040.60865951729,28.0,91.7,32800.0,1.61,46000.0,3,3.0,False
pond,wetland,chla,judge_filtered,µg/L,5,5.0,5.0,86.58,57.9772972809185,27.8,91.7,139.55,27.2,149.9,0,0.0,False
pond,wetland,chla,ntp_weighted,µg/L,24,23.122266013469588,5.190905343546978,22448.503716521915,32967.9808091827,28.0,92.06409221448624,37002.80084998226,1.61,82600.0,1,0.41838573689778774,False
pond,wetland,chla,probe_weighted,µg/L,24,20.06761199152945,8.409761598896393,27698.637214000923,32123.949962005187,41.77580779257052,26419.606394825376,43753.446394421204,1.61,92900.0,0,0.0,False
